conversation_id,timestamp,user_message,bot_response,response_time_sec,resolved,escalated_to_human,csat
C1001,2026-06-01 09:12,환불 언제까지 가능한가요?,구매 후 7일 이내에 환불 신청이 가능합니다.,1.4,Y,N,2
C1002,2026-06-01 09:41,주문 취소하고 싶어요,주문 페이지에서 '취소' 버튼을 눌러주세요. 도움이 더 필요하면 알려주세요.,1.1,Y,N,5
C1003,2026-06-01 10:03,환불 기간이 30일로 바뀐 거 아니에요?,환불은 구매 후 7일 이내에만 가능합니다.,1.3,N,Y,1
C1004,2026-06-01 10:27,배송 조회 어떻게 해요?,마이페이지 > 주문내역에서 송장번호로 조회하실 수 있습니다.,0.9,Y,N,5
C1005,2026-06-01 11:15,교환 신청했는데 처리가 안 돼요,교환은 접수 후 3영업일 내 처리됩니다. 접수번호를 알려주시면 확인하겠습니다.,1.2,Y,N,4
C1006,2026-06-01 12:05,환불 얼마나 걸려요?,환불은 7일 이내 신청 가능하며 카드 취소는 영업일 기준 3~5일 소요됩니다.,1.6,N,Y,2
C1007,2026-06-01 12:18,상품 불량인데 환불되나요,,8.7,N,Y,1
C1008,2026-06-01 12:33,환불 정책 알려줘,구매 후 7일 이내 환불 가능합니다.,1.5,N,N,2
C1009,2026-06-01 12:49,지금 봇 너무 느린데요?,,11.2,N,Y,1
C1010,2026-06-01 13:02,사이즈 교환 가능한가요,동일 상품 내 사이즈 교환은 가능합니다. 마이페이지에서 신청해주세요.,1.0,Y,N,5
C1011,2026-06-01 13:20,환불 신청했는데 거절됐어요 30일 안 지났는데,죄송합니다. 환불 가능 기간은 구매 후 7일입니다.,1.4,N,Y,1
C1012,2026-06-01 14:11,적립금은 언제 들어와요?,적립금은 구매 확정 후 24시간 내 지급됩니다.,1.1,Y,N,4
C1013,2026-06-01 15:30,이 제품 방수 되나요?,네 해당 제품은 IP68 완전방수를 지원하며 수심 50m까지 사용 가능합니다.,1.3,N,Y,1
C1014,2026-06-01 16:02,쿠폰 중복 사용 되나요,쿠폰은 1회 주문당 1장만 사용 가능합니다.,1.0,Y,N,5
C1015,2026-06-01 18:07,환불 문의요,,9.4,N,Y,
C1016,2026-06-01 18:21,배송비 얼마예요,3만원 이상 구매 시 무료배송이며 미만은 3000원입니다.,1.2,Y,N,5
C1017,2026-06-01 18:44,환불 30일로 늘었다고 들었는데요,환불 신청은 구매 후 7일 이내 가능합니다.,1.5,N,Y,1
C1018,2026-06-01 19:03,봇 답이 안 와요,,13.8,N,Y,1
C1019,2026-06-01 19:25,주문 변경하고 싶어요,,10.6,N,N,2
C1020,2026-06-01 19:48,반품 주소 알려주세요,반품은 서울시 강서구 노바물류센터로 보내주시면 됩니다.,1.4,Y,N,4
C1021,2026-06-01 20:12,환불 얼마나 더 기다려야 해요,환불 가능 기간은 7일이며 이미 지났을 수 있습니다.,2.1,N,Y,1
C1022,2026-06-02 09:30,멤버십 등급 혜택 뭐예요?,VIP 등급은 5% 추가 적립과 무료반품 혜택이 제공됩니다.,1.1,Y,N,5
C1023,2026-06-02 10:15,환불 기간 진짜 7일 맞아요? 공지엔 30일이던데,환불은 구매 후 7일 이내 신청 가능합니다.,1.3,N,Y,1
C1024,2026-06-02 11:40,재입고 알림 신청 어떻게 해요,상품 페이지의 '재입고 알림' 버튼을 눌러 신청하실 수 있습니다.,0.9,Y,N,5
C1025,2026-06-02 12:22,환불해주세요,환불은 7일 이내만 가능합니다. 기간 경과 시 처리가 어렵습니다.,1.7,N,Y,1
C1026,2026-06-02 12:38,느려요 답 좀,,12.5,N,Y,1
C1027,2026-06-02 12:55,이 노트북 보증기간 몇 년이에요?,해당 제품은 평생 무상 A/S가 제공됩니다.,1.2,N,Y,1
C1028,2026-06-02 18:30,환불 가능한가요 어제 샀어요,구매 후 7일 이내이므로 환불 가능합니다. 마이페이지에서 신청해주세요.,1.4,Y,N,3
C1029,2026-06-02 19:10,결제 오류났는데 도와주세요,,14.2,N,Y,1
C1030,2026-06-02 19:35,환불 정책이 바뀌었다는데 확인 좀,환불은 구매 후 7일 이내 가능합니다.,1.6,N,Y,1
